what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1396934442849
stopped,bundle,org.eclipse.mylyn.pde.ui,3.9.1.v20130917-0100,"org.eclipse.mylyn.pde.ui",1396934442849
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1396934442850
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20111213-1754,"org.eclipse.pde.ds.ui",1396934442850
stopped,bundle,org.eclipse.scout.sdk.ui,3.7.2.201202140505,"org.eclipse.scout.sdk.ui",1396934442851
stopped,bundle,org.eclipse.scout.sdk,3.7.2.201202140505,"org.eclipse.scout.sdk",1396934442852
stopped,bundle,org.eclipse.scout.nls.sdk,3.7.2.201202140505,"org.eclipse.scout.nls.sdk",1396934442852
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110928-1516,"org.eclipse.pde.runtime",1396934442853
stopped,bundle,org.eclipse.datatools.connectivity.ui.templates,1.0.0.v200906020553,"org.eclipse.datatools.connectivity.ui.templates",1396934442854
stopped,bundle,org.eclipse.datatools.sdk,1.7.0.v200906161850,"org.eclipse.datatools.sdk",1396934442854
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110928-1516,"org.eclipse.pde.ui.templates",1396934442855
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.3.v201201121156,"org.eclipse.datatools.connectivity.oda.template.ui",1396934442856
stopped,bundle,org.eclipse.birt.report.debug.ui,3.7.2.v20120213,"org.eclipse.birt.report.debug.ui",1396934442856
